City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
250,Boa Vista,BR,2.8197,-60.6733,80.58,78,75,8.05,broken clouds
251,Celestun,MX,20.8667,-90.4,86.59,66,87,19.51,overcast clouds
252,Santa Rosa,PH,14.3122,121.1114,81.86,82,100,1.88,overcast clouds
253,Dingle,PH,10.9995,122.6711,79.3,85,88,1.19,overcast clouds
254,Casper,US,42.8666,-106.3131,79.02,49,1,1.99,clear sky
255,Batagay,RU,67.6333,134.6333,51.64,52,83,7.85,broken clouds
256,Sistranda,NO,63.7256,8.834,60.76,93,69,17.09,broken clouds
257,Placido De Castro,BR,-10.3353,-67.1856,82.72,43,13,0.83,few clouds
258,Clyde River,CA,70.4692,-68.5914,46.62,65,9,3.83,clear sky
259,Lompoc,US,34.6391,-120.4579,79.21,72,1,14.97,clear sky
260,Teguldet,RU,57.3064,88.1667,62.35,94,94,2.91,overcast clouds
261,Okhotsk,RU,59.3833,143.3,71.82,50,0,13.42,clear sky
262,Talnakh,RU,69.4865,88.3972,49.84,58,88,0.34,overcast clouds
263,Iqaluit,CA,63.7506,-68.5145,54.84,49,31,12.44,scattered clouds
264,Dubbo,AU,-32.25,148.6167,55.53,100,90,10.36,overcast clouds
265,Huadian,CN,42.9633,126.7478,77.49,84,64,4.76,broken clouds
266,Necochea,AR,-38.5473,-58.7368,44.04,66,100,7.14,overcast clouds
267,Ambon,ID,-3.6954,128.1814,75.34,94,40,5.75,light rain
268,Camacha,PT,33.0833,-16.3333,66.96,77,75,12.66,broken clouds
269,Pacific Grove,US,36.6177,-121.9166,87.46,80,40,3.0,scattered clouds
270,Pittsfield,US,42.4501,-73.2454,78.42,98,90,3.44,moderate rain
271,General Roca,AR,-39.0333,-67.5833,52.2,43,25,16.13,scattered clouds
272,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.6,98,94,2.68,overcast clouds
273,Deputatskiy,RU,69.3,139.9,42.58,60,99,20.18,overcast clouds
274,Hit,IQ,33.6416,42.8251,91.72,17,0,10.8,clear sky
275,Zunyi,CN,27.6867,106.9072,70.81,92,100,3.53,overcast clouds
276,Saint-Denis,FR,48.9167,2.3333,66.69,79,0,11.5,clear sky
277,Cruz Alta,BR,-28.6386,-53.6064,71.58,65,69,6.73,broken clouds
278,Mangan,IN,27.5167,88.5333,75.09,93,100,0.13,overcast clouds
279,Monduli,TZ,-3.3,36.45,60.62,84,79,9.15,broken clouds
280,Kabanjahe,ID,3.1001,98.4908,61.56,96,100,4.14,overcast clouds
281,Chengde,CN,40.9725,117.9361,74.95,94,78,1.83,broken clouds
282,Half Moon Bay,US,37.4636,-122.4286,91.74,66,20,1.01,few clouds
283,Thinadhoo,MV,0.5333,72.9333,81.93,75,100,6.93,overcast clouds
284,Chapais,CA,49.7834,-74.8492,68.45,66,67,9.66,broken clouds
285,Ilulissat,GL,69.2167,-51.1,41.02,93,90,14.97,light intensity drizzle
286,Maningrida,AU,-12.0667,134.2667,74.53,78,62,8.77,broken clouds
287,Egvekinot,RU,66.3167,-179.1667,50.13,77,52,8.21,broken clouds
288,Manaure,CO,11.7751,-72.4445,84.58,64,62,23.06,broken clouds
289,Saskylakh,RU,71.9167,114.0833,47.23,58,100,19.35,overcast clouds
290,Sakakah,SA,29.9697,40.2064,90.97,17,2,10.25,clear sky
291,Manggar,ID,-2.8833,108.2667,78.87,79,100,10.89,overcast clouds
292,Beringovskiy,RU,63.05,179.3167,57.96,70,8,10.51,clear sky
293,Nanortalik,GL,60.1432,-45.2371,47.32,80,19,9.1,few clouds
294,Upington,ZA,-28.4478,21.2561,37.78,41,0,2.3,clear sky
295,Obigarm,TJ,38.7173,69.7088,64.92,37,57,4.32,broken clouds
296,Tomigusuku,JP,26.185,127.675,83.97,80,75,5.75,broken clouds
297,Andenes,NO,69.3143,16.1194,56.46,93,90,3.44,overcast clouds
298,Grindavik,IS,63.8424,-22.4338,48.67,87,90,19.57,light intensity drizzle
299,Katsuura,JP,35.1333,140.3,80.19,84,91,4.9,overcast clouds
300,San Ignacio,BZ,17.1561,-89.0714,77.14,94,75,0.0,broken clouds
301,San Patricio,US,28.017,-97.5169,89.69,60,85,12.55,overcast clouds
302,Broome,US,42.2506,-75.833,78.62,88,75,1.01,broken clouds
303,Kentau,KZ,43.5206,68.5094,64.24,32,0,9.1,clear sky
304,Orchard Homes,US,46.8633,-114.0484,97.29,21,1,1.01,clear sky
305,Kavieng,PG,-2.5744,150.7967,84.54,70,81,9.22,broken clouds
306,Srednekolymsk,RU,67.45,153.6833,69.98,48,26,5.97,scattered clouds
307,Kampot,KH,10.6167,104.1833,77.05,88,100,5.01,light rain
308,Longyearbyen,SJ,78.2186,15.6401,42.64,81,75,6.91,broken clouds
309,Asifabad,IN,19.3667,79.2833,75.76,96,55,5.21,broken clouds
310,Miranda,CO,3.2499,-76.2281,84.33,85,75,1.81,broken clouds
311,Boueni,YT,-12.9025,45.0761,73.38,70,13,19.01,few clouds
312,Kruisfontein,ZA,-34.0033,24.7314,46.53,50,53,6.35,broken clouds
313,Sambava,MG,-14.2667,50.1667,70.21,83,73,12.5,light rain
314,Mailsi,PK,29.8003,72.1758,93.29,55,32,8.77,scattered clouds
315,Puerto Del Rosario,ES,28.5004,-13.8627,74.95,60,6,13.8,clear sky
316,Alta Floresta,BR,-9.8756,-56.0861,82.22,36,0,2.3,clear sky
317,Padang,ID,-0.9492,100.3543,75.33,71,94,3.98,overcast clouds
318,Lasa,IT,46.6166,10.7002,56.28,89,45,2.35,scattered clouds
319,Muli,MV,2.9167,73.5667,81.55,76,83,8.79,broken clouds
320,Toba,JP,34.4833,136.85,76.32,83,93,5.35,light rain
321,Saint-Jean-De-Maurienne,FR,45.1667,6.5833,39.52,97,100,7.34,overcast clouds
322,Sekoma,BW,-24.4,23.8833,36.27,27,0,3.98,clear sky
323,Superior,US,46.7208,-92.1041,69.01,80,1,13.8,clear sky
324,Norman Wells,CA,65.282,-126.8329,52.54,77,97,12.21,overcast clouds
325,Sur,OM,22.5667,59.5289,84.49,74,100,3.65,overcast clouds
326,Mengyin,CN,35.7069,117.9264,80.26,85,100,1.97,overcast clouds
327,Griffith,US,41.5284,-87.4237,82.35,72,1,1.01,clear sky
328,Luoyang,CN,34.6836,112.4536,78.22,88,51,7.76,light rain
329,Sargatskoye,RU,55.6101,73.4972,45.52,98,100,12.39,light rain
330,Nago,JP,26.5881,127.9761,84.36,80,98,7.45,overcast clouds
331,Bhadrachalam,IN,17.6667,80.8833,75.69,97,100,4.0,overcast clouds
332,Rawson,AR,-43.3002,-65.1023,50.88,49,76,19.93,broken clouds
